condition,subject,status,n_test,ME,MAE,RMSE,protocol
gaussian_noise_std_0.10,7Amar,unhealthy,3019,0.11370653659105301,6.836176872253418,9.943241787816314,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_RF,7Amar,unhealthy,3019,-0.15062683820724487,7.413078308105469,10.53196935715439,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_BF,7Amar,unhealthy,3019,2.129023551940918,8.310815811157227,11.485500316890722,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_VM,7Amar,unhealthy,3019,-0.45463237166404724,7.536017894744873,9.36153818647325,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_ST,7Amar,unhealthy,3019,-6.05794620513916,11.646771430969238,17.66419293820703,checkpoint_reuse_purged_temporal_test_only_perturbation
amplitude_scale_0.8,7Amar,unhealthy,3019,0.40224120020866394,7.564393520355225,10.443054548630112,checkpoint_reuse_purged_temporal_test_only_perturbation
amplitude_scale_1.2,7Amar,unhealthy,3019,-1.1108229160308838,7.194158554077148,10.24140793359987,checkpoint_reuse_purged_temporal_test_only_perturbation
feature_smoothing_5,7Amar,unhealthy,3019,0.10005083680152893,6.846685409545898,10.00560183978303,checkpoint_reuse_purged_temporal_test_only_perturbation
clean,8Amar,unhealthy,1912,-2.616483688354492,6.727817058563232,9.541778652638984,checkpoint_reuse_purged_temporal_test_only_perturbation
gaussian_noise_std_0.05,8Amar,unhealthy,1912,-2.6215813159942627,6.732442378997803,9.55706073922022,checkpoint_reuse_purged_temporal_test_only_perturbation
gaussian_noise_std_0.10,8Amar,unhealthy,1912,-2.598371744155884,6.696008205413818,9.487492006723206,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_RF,8Amar,unhealthy,1912,-5.216109275817871,7.334449768066406,10.371546894525983,checkpoint_reuse_purged_temporal_test_only_perturbation
